Number of cards,Name,Set
2,Balloon Peddler,[MMQ]
2,Blaster Mage,[MMQ]
5,Blockade Runner,[MMQ]
8,Buoyancy,[MMQ]
3,Cavern Crawler,[MMQ]
1,Ceremonial Guard,[MMQ]
2,Crash,[MMQ]
1,Dehydration,[MMQ]
1,Drake Hatchling,[MMQ]
1,Flailing Soldier,[MMQ]
1,Flaming Sword,[MMQ]
1,Highway Robber,[MMQ]
1,Hoodwink,[MMQ]
5,Kyren Glider,[MMQ]
1,Kyren Sniper,[MMQ]
1,Lunge,[MMQ]
3,Misstep,[MMQ]
9,Port Inspector,[MMQ]
2,Rishadan Cutpurse,[MMQ]
6,Saprazzan Raider,[MMQ]
1,Silent Assassin,[MMQ]
4,Sizzle,[MMQ]
2,Specter's Wail,[MMQ]
9,Tidal Bore,[MMQ]
1,Wild Jhovall,[MMQ]
